,Title,Release Year,Genre,IMDb Page Link
0,Joker,(I) (2019),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt7286456/
1,Carnival Row,(2019– ),"
Crime, Drama, Fantasy            ",http://www.imdb.com/title/tt0489974/
2,Mindhunter,(2017– ),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt5290382/
3,Peaky Blinders,(2013– ),"
Crime, Drama            ",http://www.imdb.com/title/tt2442560/
4,The Boys,(2019– ),"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt1190634/
5,Hustlers,(2019),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt5503686/
6,Money Heist,(2017– ),"
Action, Crime, Mystery            ",http://www.imdb.com/title/tt6468322/
7,Bad Boys for Life,(2020),"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt1502397/
8,Breaking Bad,(2008–2013),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt0903747/
9,John Wick: Chapter 3 - Parabellum,(2019),"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt6146586/
10,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt2372162/
11,Titans,(I) (2018– ),"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt1043813/
12,Lucifer,(2015– ),"
Crime, Drama, Fantasy            ",http://www.imdb.com/title/tt4052886/
13,Power,(I) (2014– ),"
Crime, Drama            ",http://www.imdb.com/title/tt3281796/
14,Dark,(2017– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt5753856/
15,Veronica Mars,(2004– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0412253/
16,Criminal Minds,(2005– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0452046/
17,The Sinner,(2017– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt6048596/
18,Brooklyn Nine-Nine,(2013– ),"
Comedy, Crime            ",http://www.imdb.com/title/tt2467372/
19,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),(2020),"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt7713068/
20,A Confession,(2019– ),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt9131050/
21,Uncut Gems,(2019),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt5727208/
22,A Simple Favor,(2018),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt7040874/
23,NCIS,(2003– ),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0364845/
24,Mayans M.C.,(2018– ),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt5715524/
25,Bad Times at the El Royale,(2018),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt6628394/
26,Law & Order: Special Victims Unit,(1999– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0203259/
27,Elite,(2018– ),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt7134908/
28,The Capture,(2019– ),"
Crime, Mystery, Thriller            ",http://www.imdb.com/title/tt8201186/
29,The Blacklist,(2013– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt2741602/
30,The Dark Knight,(2008),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0468569/
31,Better Call Saul,(2015– ),"
Crime, Drama            ",http://www.imdb.com/title/tt3032476/
32,Big Little Lies,(2017– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt3920596/
33,The Irishman,(2019),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt1302006/
34,Sacred Games,(2018– ),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt6077448/
35,Scream: The TV Series,(2015– ),"
Crime, Drama, Horror            ",http://www.imdb.com/title/tt3921180/
36,True Detective,(2014– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt2356777/
37,Arrow,(2012– ),"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt2193021/
38,Wu Assassins,(2019– ),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt8652642/
39,Midsomer Murders,(1997– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0118401/
40,The Hustle,(2019),"
Comedy, Crime            ",http://www.imdb.com/title/tt1298644/
41,Pulp Fiction,(1994),"
Crime, Drama            ",http://www.imdb.com/title/tt0110912/
42,Riverdale,(2017– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt5420376/
43,Mr. Robot,(2015– ),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt4158110/
44,The Sopranos,(1999–2007),"
Crime, Drama            ",http://www.imdb.com/title/tt0141842/
45,Fargo,(2014– ),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt2802850/
46,Animal Kingdom,(2016– ),"
Crime, Drama            ",http://www.imdb.com/title/tt5574490/
47,Ozark,(2017– ),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt5071412/
48,Sons of Anarchy,(2008–2014),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt1124373/
49,Queen of the South,(2016– ),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt1064899/
50,How to Get Away with Murder,(2014– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt3205802/
51,Pennyworth,(2019– ),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt8425532/
52,Homeland,(2011– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt1796960/
53,Snowfall,(2017– ),"
Crime, Drama            ",http://www.imdb.com/title/tt6439752/
54,Gotham,(2014–2019),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt3749900/
55,Sherlock,(2010– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt1475582/
56,Dexter,(2006–2013),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0773262/
57,The Mule,(2018),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt7959026/
58,The Wire,(2002–2008),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt0306414/
59,Can You Ever Forgive Me?,(2018),"
Biography, Comedy, Crime            ",http://www.imdb.com/title/tt4595882/
60,John Wick,(2014),"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt2911666/
61,Bones,(2005–2017),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt0460627/
62,Motherless Brooklyn,(2019),"
Crime, Drama            ",http://www.imdb.com/title/tt0385887/
63,The Hateful Eight,(2015),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt3460252/
64,Prison Break,(2005–2017),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0455275/
65,The Godfather,(1972),"
Crime, Drama            ",http://www.imdb.com/title/tt0068646/
66,Gundala,(2019),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt8237172/
67,iZombie,(2015–2019),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt3501584/
68,Taxi Driver,(1976),"
Crime, Drama            ",http://www.imdb.com/title/tt0075314/
69,The Wolf of Wall Street,(2013),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt0993846/
70,Elementary,(2012–2019),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt2191671/
71,Why Women Kill,(2019– ),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt9054904/
72,Killers Anonymous,(2019),"
Action, Crime, Mystery            ",http://www.imdb.com/title/tt8400758/
73,Blue Bloods,(2010– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt1595859/
